Make,AccidentArea,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,FraudFound_P,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,BasePolicy
Honda,Urban,Jan,1,Female,Single,21,Policy Holder,Sport - Liability,Sport,more than 69000,0,12,300,1,more than 30,more than 30,none,3 years,26 to 30,No,No,External,none,1 year,3 to 4,Liability
Honda,Urban,Jan,4,Male,Single,34,Policy Holder,Sport - Collision,Sport,more than 69000,0,15,400,4,more than 30,more than 30,none,6 years,31 to 35,Yes,No,External,none,no change,1 vehicle,Collision
Honda,Urban,Nov,2,Male,Married,47,Policy Holder,Sport - Collision,Sport,more than 69000,0,7,400,3,more than 30,more than 30,1,7 years,41 to 50,No,No,External,none,no change,1 vehicle,Collision
Toyota,Rural,Jul,1,Male,Married,65,Third Party,Sedan - Liability,Sport,20000 to 29000,0,4,400,2,more than 30,more than 30,1,more than 7,51 to 65,Yes,No,External,more than 5,no change,1 vehicle,Liability
Honda,Urban,Feb,2,Female,Single,27,Third Party,Sport - Collision,Sport,more than 69000,0,3,400,1,more than 30,more than 30,none,5 years,31 to 35,No,No,External,none,no change,1 vehicle,Collision
Honda,Urban,Nov,1,Male,Single,20,Third Party,Sport - Collision,Sport,more than 69000,0,12,400,3,more than 30,more than 30,none,5 years,21 to 25,No,No,External,3 to 5,no change,1 vehicle,Collision
Honda,Urban,Feb,3,Male,Married,36,Third Party,Sport - Collision,Sport,more than 69000,0,14,400,1,more than 30,more than 30,1,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,Collision
Honda,Urban,Mar,4,Male,Single,0,Policy Holder,Sport - Collision,Sport,more than 69000,0,1,400,4,more than 30,more than 30,1,new,16 to 17,No,No,External,none,no change,1 vehicle,Collision
Honda,Urban,Dec,5,Male,Single,30,Policy Holder,Sport - Collision,Sport,more than 69000,0,7,400,4,more than 30,more than 30,none,6 years,31 to 35,No,Yes,External,3 to 5,no change,1 vehicle,Collision
Ford,Urban,Apr,3,Male,Married,42,Policy Holder,Utility - All Perils,Utility,more than 69000,0,7,400,1,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,3 to 5,no change,1 vehicle,All Perils
Mazda,Urban,Mar,3,Male,Single,71,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,7,400,3,more than 30,more than 30,none,more than 7,over 65,No,No,External,none,no change,1 vehicle,All Perils
Honda,Urban,Mar,5,Male,Married,52,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,13,400,1,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,Liability
Ford,Urban,Jan,3,Male,Married,28,Policy Holder,Sedan - Liability,Sport,more than 69000,0,11,400,1,more than 30,more than 30,1,7 years,31 to 35,No,No,External,none,no change,1 vehicle,Liability
Honda,Rural,Feb,1,Male,Single,0,Third Party,Sedan - Collision,Sedan,more than 69000,0,12,400,3,more than 30,more than 30,none,new,16 to 17,No,No,External,none,no change,1 vehicle,Collision
Ford,Urban,Feb,1,Male,Married,61,Policy Holder,Sedan - Liability,Sport,more than 69000,0,3,400,1,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,Liability
Ford,Urban,Aug,5,Male,Single,38,Policy Holder,Sedan - Liability,Sport,more than 69000,0,16,400,1,more than 30,more than 30,none,6 years,36 to 40,No,No,External,none,no change,1 vehicle,Liability
Ford,Urban,May,1,Male,Married,41,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,15,400,4,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,All Perils
Chevrolet,Urban,Aug,1,Female,Married,28,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,6,400,1,more than 30,more than 30,none,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,Collision
Pontiac,Urban,May,5,Male,Single,32,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,6,400,1,more than 30,more than 30,1,7 years,31 to 35,No,No,External,none,no change,1 vehicle,Liability
Honda,Urban,May,1,Male,Married,30,Third Party,Sedan - Liability,Sport,more than 69000,0,2,400,2,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,Liability
Mazda,Urban,May,1,Male,Married,40,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,3,400,1,more than 30,more than 30,1,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,Liability
Chevrolet,Urban,Jan,2,Male,Married,47,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,13,400,2,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,none,4 to 8 years,2 vehicles,Collision
Mazda,Urban,Aug,5,Male,Married,63,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,8,400,3,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,1 to 2,no change,1 vehicle,Liability
Pontiac,Urban,Jun,3,Male,Single,31,Third Party,Sedan - Liability,Sport,30000 to 39000,0,5,400,3,more than 30,more than 30,none,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,Liability
Mazda,Urban,Sep,3,Male,Married,45,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,12,400,3,more than 30,more than 30,more than 4,more than 7,36 to 40,Yes,No,External,none,no change,1 vehicle,All Perils
Pontiac,Urban,Apr,1,Male,Married,60,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,16,400,4,more than 30,more than 30,more than 4,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,Liability
Honda,Urban,Jun,4,Male,Married,21,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,1,400,2,more than 30,more than 30,more than 4,5 years,26 to 30,No,No,External,more than 5,no change,1 vehicle,Collision
Accura,Urban,May,4,Male,Married,42,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,1,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,All Perils
Honda,Urban,Sep,4,Male,Single,0,Policy Holder,Sedan - All Perils,Sedan,more than 69000,1,9,400,1,more than 30,more than 30,none,new,16 to 17,No,No,External,none,no change,1 vehicle,All Perils
Mazda,Urban,May,4,Female,Married,39,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,12,400,3,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,Collision
Dodge,Urban,Mar,2,Male,Married,47,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,2,400,1,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,Internal,none,no change,1 vehicle,Collision
Honda,Urban,Mar,2,Male,Single,0,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,6,400,1,more than 30,more than 30,1,new,16 to 17,No,No,External,none,no change,1 vehicle,Collision
